model,c_index,c_index_ci_low,c_index_ci_high,mean_time_dependent_auc,integrated_brier_score,calibration_mae_180
Gradient Boosting Survival,0.5533645049806871,0.48353802672147994,0.6165069515892551,0.5766921462475736,0.18266976064348667,0.12374525042635645
Cox PH,0.5513315714576134,0.4778763283498788,0.6192669091584836,0.5526006898028337,0.17630641902516922,0.062055670381274734
Random Survival Forest,0.5462492376499288,0.4775663212969465,0.6070692409139021,0.55089541052359,0.18228642842017725,0.09233739863877091
